Entry	Entry name	Protein names	Status	Gene names  (primary )
D6N0Q5	D6N0Q5_EUMJU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D6N0Q6	D6N0Q6_MUSNI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D7PR98	D7PR98_NASNA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B3FFL6	B3FFL6_HYDML	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A075TKX1	A0A075TKX1_9CHIR	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
W8S1U5	W8S1U5_TRACI	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
O13105	O13105_DASBY	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIC4	C7AIC4_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A165QN51	A0A165QN51_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
G3M6W6	G3M6W6_MACLA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q5G6F8	Q5G6F8_9CHIR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A165QMZ9	A0A165QMZ9_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A5X7K4	A5X7K4_NASNA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B3FFP3	B3FFP3_ARCCL	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A165QMW7	A0A165QMW7_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D7PR91	D7PR91_TAXTA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D6N0Q8	D6N0Q8_ENHLU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFI1	Q9BFI1_TRAEU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B3FFM9	B3FFM9_9CARN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D7PR65	D7PR65_PANON	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8RIF8	W8RIF8_DESRO	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
A5X7L2	A5X7L2_TAXTA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D6N0R2	D6N0R2_LYNCA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A075TSE8	A0A075TSE8_GLOSR	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
D7PR85	D7PR85_ENHLU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0K0N4U9	A0A0K0N4U9_CHIIM	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
A0A1J0N2X5	A0A1J0N2X5_SCAOR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D6N0Q3	D6N0Q3_ARCAU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q1XAG6	Q1XAG6_TURAD	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
O02790	O02790_MACFL	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIB4	C7AIB4_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0K0N4Q0	A0A0K0N4Q0_PTEQU	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
C7SSB9	C7SSB9_PITPI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A5X7K5	A5X7K5_POTFL	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFJ4	Q9BFJ4_LEMCA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFH6	Q9BFH6_TAPIN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q2VDK1	Q2VDK1_ATEMI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7AIC5	C7AIC5_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A165QML8	A0A165QML8_TENEC	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
S4S7U8	S4S7U8_CROFU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFL1	Q9BFL1_EUPSX	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A5X7K2	A5X7K2_9CARN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C7SSB7	C7SSB7_CERPT	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B3FFP2	B3FFP2_9CARN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q2VDJ3	Q2VDJ3_CHRBR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0K0N4N6	A0A0K0N4N6_GLOLE	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
A5X7K8	A5X7K8_ENHLU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFK5	Q9BFK5_CONCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
C9EEX8	C9EEX8_LAGOB	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8R5V4	W8R5V4_ARTLI	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
W8REZ8	W8REZ8_ARTGG	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
Q1X7H0	Q1X7H0_ECHGY	BDNF (Fragment)	unreviewed	BDNF
