c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	phenotype	null	1	C0398353	ALL
C0030567	Parkinson Disease	disease	null	1	C0398639	ALL
C0030567	Parkinson Disease	disease	null	1	C0398642	ALL
C0030567	Parkinson Disease	disease	null	1	C0398680	ALL
C0030567	Parkinson Disease	disease	null	1	C0398704	ALL
C0030567	Parkinson Disease	disease	null	1	C0398739	ALL
C0030567	Parkinson Disease	disease	null	1	C0398777	ALL
C0030567	Parkinson Disease	disease	null	1	C0398788	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0399570	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0399572	ALL
C0030567	Parkinson Disease	disease	null	1	C0400837	ALL
C0030567	Parkinson Disease	disease	null	1	C0400847	ALL
C0030567	Parkinson Disease	disease	null	1	C0400943	ALL
C0030567	Parkinson Disease	disease	null	1	C0400965	ALL
C0030567	Parkinson Disease	disease	null	1	C0403440	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0403502	ALL
C0030567	Parkinson Disease	disease	null	1	C0403518	ALL
C0030567	Parkinson Disease	disease	null	1	C0403528	ALL
C0030567	Parkinson Disease	disease	null	1	C0403548	ALL
C0030567	Parkinson Disease	disease	null	1	C0403622	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0403673	ALL
C0030567	Parkinson Disease	disease	null	1	C0404572	ALL
C0030567	Parkinson Disease	phenotype	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Female Urogenital Diseases and Pregnancy Complications	1	C0405124	ALL
C0030567	Parkinson Disease	disease	Female Urogenital Diseases and Pregnancy Complications ; Skin and Connective Tissue Diseases	1	C0405469	ALL
C0030567	Parkinson Disease	disease	null	1	C0406322	ALL
C0030567	Parkinson Disease	disease	null	1	C0406587	ALL
C0030567	Parkinson Disease	disease	null	1	C0406716	ALL
C0030567	Parkinson Disease	disease	null	1	C0406735	ALL
C0030567	Parkinson Disease	disease	null	1	C0406767	ALL
C0030567	Parkinson Disease	disease	null	1	C0406811	ALL
C0030567	Parkinson Disease	disease	null	1	C0409338	ALL
C0030567	Parkinson Disease	disease	null	1	C0409477	ALL
C0030567	Parkinson Disease	disease	null	1	C0409495	ALL
C0030567	Parkinson Disease	disease	null	1	C0409667	ALL
C0030567	Parkinson Disease	disease	null	1	C0409676	ALL
C0030567	Parkinson Disease	disease	null	1	C0410179	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Musculoskeletal Diseases ; Nervous System Diseases	1	C0410190	ALL
C0030567	Parkinson Disease	disease	null	1	C0410204	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Musculoskeletal Diseases ; Nervous System Diseases	1	C0410226	ALL
C0030567	Parkinson Disease	disease	null	1	C0410438	ALL
C0030567	Parkinson Disease	disease	null	1	C0410529	ALL
C0030567	Parkinson Disease	disease	null	1	C0410533	ALL
C0030567	Parkinson Disease	disease	null	1	C0410539	ALL
C0030567	Parkinson Disease	disease	null	1	C0410740	ALL
C0030567	Parkinson Disease	phenotype	Female Urogenital Diseases and Pregnancy Complications ; Pathological Conditions, Signs and Symptoms	1	C0410916	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0423112	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0423318	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0423428	ALL
C0030567	Parkinson Disease	disease	null	1	C0423463	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0423732	ALL
C0030567	Parkinson Disease	disease	Pathological Conditions, Signs and Symptoms ; Skin and Connective Tissue Diseases	1	C0423772	ALL
